Cluster,lat,lon
0,40.681749896,-73.958585458
0,40.6614172970001,-73.941289909
1,40.833029094,-73.862721934
2,40.624096319,-73.960238686
0,40.679042806,-73.938509112
3,40.6968416340001,-73.744459949
0,40.658486662,-73.928173165
0,40.7650240790001,-73.9848359499999
0,40.68636981,-73.914592848
1,40.7868235620001,-73.9491888759999
0,40.7163418370001,-73.950696363
3,40.7144226020001,-73.762728185
0,40.6857647080001,-73.998634892
0,40.7063632700001,-73.931897899
0,40.6494481240001,-73.9630777259999
0,40.6525853250001,-73.915940705
0,40.6938845600001,-73.917763823
1,40.8712171880001,-73.8891718
0,40.6751222980001,-73.931915378
1,40.800380481,-73.950789433
0,40.631818207,-73.892772227
3,40.684394502,-73.7693612049999
2,40.6143298850001,-74.085822121
1,40.8683460870001,-73.8634299949999
2,40.572797354,-73.995962704
0,40.7209771980001,-73.994838989
1,40.888311205,-73.856810251
1,40.8287398730001,-73.914724479
0,40.6731578010001,-73.896191803
2,40.6030587760001,-73.995687183
0,40.6744042170001,-73.896510715
1,40.8143619960001,-73.9444966949999
0,40.695058784,-73.938948721
2,40.587834098,-73.934668661
1,40.8418409070001,-73.883879032
1,40.7839105640001,-73.947327824
1,40.8285197000001,-73.8801118009999
3,40.6844202230001,-73.7825721139999
0,40.7525307990001,-73.99322319
3,40.7543699440001,-73.866904908
1,40.8572855460001,-73.932339841
3,40.744556952,-73.8737705359999
3,40.5991954180001,-73.760987846
1,40.8652190720001,-73.843356386
3,40.7413925880001,-73.7088479289999
1,40.790425789,-73.95183686
1,40.8583769750001,-73.9039100379999
1,40.8520455570001,-73.931745131
1,40.8472431820001,-73.938136769
1,40.861559813,-73.9247182349999
1,40.8085133270001,-73.9214657209999
3,40.660460804,-73.867182381
1,40.832774193,-73.9458256149999
1,40.80203233,-73.949682945
0,40.665221978,-73.9193238939999
0,40.6870115940001,-73.917682155
1,40.8346215,-73.918103026
0,40.747449094,-73.9821945369999
1,40.8498891580001,-73.916482969
2,40.6274211670001,-74.076090504
0,40.651165991,-73.911899013
0,40.6610763210001,-73.958821762
1,40.864468978,-73.920307802
0,40.670655072,-73.91339092
0,40.704318465,-73.9192333
1,40.848967396,-73.8602347729999
2,40.644030329,-74.0024806
1,40.8604608580001,-73.863681172
0,40.7403085650001,-74.0038266
3,40.763434197,-73.830159744
1,40.8333573800001,-73.9197993989999
0,40.693687793,-73.984267981
1,40.841846984,-73.86905018
0,40.7320551460001,-74.001415857
1,40.827313476,-73.878874593
0,40.746853098,-73.891432203
3,40.7425034250001,-73.8733594189999
0,40.6820009630001,-73.948223153
3,40.6737812470001,-73.869600071
2,40.5747510040001,-73.9871217469999
0,40.661130072,-73.9201290089999
1,40.807283532,-73.913570756
3,40.6986966690001,-73.838049547
1,40.8958162770001,-73.842882785
3,40.5853151370001,-73.818047797
2,40.614426758,-73.970495253
3,40.7060951120001,-73.808495571
0,40.672507608,-73.916856493
0,40.6934451930001,-73.9778275469999
0,40.762181135,-73.963199338
0,40.653947407,-73.8877739979999
0,40.661698475,-73.887569926
0,40.606489068,-73.9276924979999
0,40.664515169,-73.906589923
0,40.637016165,-73.914944256
0,40.756982561,-73.9327485319999
0,40.762500356,-73.965899319
1,40.827626793,-73.866808966
0,40.705446855,-73.912137457
0,40.7604132270001,-73.987475708
1,40.8500956570001,-73.865000053
1,40.8661055360001,-73.888110141
1,40.829330897,-73.9238693999999
0,40.7461790190001,-73.9051437209999
0,40.677292057,-73.906521555
1,40.862137524,-73.826610568
3,40.7599410720001,-73.769146542
1,40.8266658760001,-73.873896614
1,40.8380716720001,-73.9181999689999
0,40.6777815080001,-73.935860415
0,40.7560435350001,-73.986949544
3,40.703564269,-73.788042288
3,40.7043129570001,-73.803141142
1,40.867438926,-73.893343194
1,40.851975931,-73.8970875099999
0,40.67834671,-73.910810364
0,40.764499002,-73.930365598
3,40.705515237,-73.798423556
0,40.6923644560001,-73.911054855
0,40.6319664800001,-73.9427317079999
3,40.702697803,-73.839478863
1,40.810398494,-73.9248953109999
1,40.8514073090001,-73.902879082
1,40.866498474,-73.897451893
0,40.6319012010001,-73.8877029879999
0,40.6592844530001,-73.888997675
3,40.6915433990001,-73.854178533
1,40.824640834,-73.8556501159999
1,40.874180976,-73.833872447
3,40.7069864310001,-73.813059269
1,40.814785296,-73.910540818
0,40.676296429,-73.891698478
0,40.6911984170001,-73.936687702
1,40.7647819590001,-73.870353278
0,40.674085974,-73.9389462889999
3,40.7096885340001,-73.759083941
0,40.6715688790001,-73.97549523
0,40.7610144720001,-73.9888978389999
0,40.674581319,-73.9834577399999
2,40.590433977,-73.981123832
0,40.744985243,-73.989921825
0,40.6506944380001,-73.9737298319999
2,40.572072361,-74.112746439
1,40.825734869,-73.9231906049999
1,40.8776028820001,-73.8672187239999
1,40.8159130770001,-73.945149307
0,40.6955823210001,-73.932741946
0,40.747494938,-73.885321074
0,40.656142172,-73.9082451089999
0,40.6971891600001,-73.9215499699999
0,40.734571546,-73.889828466
3,40.7504754240001,-73.867147287
0,40.6846602860001,-73.911580734
0,40.745506462,-73.884046939
3,40.7428970890001,-73.8624096359999
2,40.5740003940001,-74.093045198
0,40.6935795900001,-73.9578388589999
2,40.6077382600001,-73.9629711379999
3,40.685444503,-73.793255998
1,40.83795976,-73.870853957
1,40.802979088,-73.9638630699999
1,40.8458386070001,-73.93446227
1,40.875137942,-73.906145787
3,40.7130117500001,-73.876593359
1,40.814803479,-73.956284484
2,40.622153897,-74.0272848559999
1,40.852381909,-73.9135157709999
3,40.7475190640001,-73.87678929
3,40.7127349730001,-73.776650594
1,40.8218624080001,-73.942640554
0,40.7071306390001,-73.966612942
0,40.6508153880001,-73.949573551
3,40.7023241740001,-73.782448803
3,40.6950075390001,-73.828469651
1,40.790295342,-73.942682195
1,40.854742994,-73.914373035
2,40.622709823,-74.132075356
1,40.7873183300001,-73.9772257229999
2,40.5739063240001,-73.9993858989999
0,40.7665086320001,-73.982362725
3,40.743685869,-73.8587306169999
1,40.841946385,-73.939056073
3,40.600953206,-73.820371111
0,40.638982008,-73.89266343
0,40.6778968620001,-73.897954609
1,40.828628253,-73.9487197299999
0,40.693870514,-73.9297037119999
0,40.702683737,-73.933953812
1,40.845073557,-73.918382918
3,40.589788318,-73.788677052
3,40.6755641620001,-73.8147119769999
2,40.5930247160001,-73.9790887189999
1,40.8917171580001,-73.8544519559999
2,40.6301829010001,-74.0007507989999
2,40.6278703300001,-74.0183276389999
0,40.670340357,-73.8833737309999
1,40.902052697,-73.851553473
1,40.8574294310001,-73.8999493749999
0,40.6486480470001,-73.967730515
3,40.682595086,-73.8539060539999
0,40.7021809660001,-73.9242634519999
1,40.876820722,-73.858060837
0,40.693795907,-73.9986924249999
1,40.8641210490001,-73.9212518259999
0,40.6421030280001,-73.948639667
1,40.861043115,-73.850683368
1,40.807918773,-73.919017282
0,40.6757699120001,-73.9151616139999
0,40.7477296820001,-73.9868392929999
0,40.7422491620001,-73.9988574779999
1,40.8134889940001,-73.950107797
0,40.670056817,-73.921174536
0,40.7535022600001,-73.990664062
2,40.576003353,-74.0008905779999
1,40.849182834,-73.886465072
1,40.8170046860001,-73.899237011
1,40.8980187270001,-73.863242425
1,40.7952330370001,-73.9483265069999
0,40.7054565770001,-73.9518116849999
0,40.7434704550001,-74.005393004
1,40.879762349,-73.836780399
1,40.7989438270001,-73.9423605219999
1,40.8050407000001,-73.9568218809999
2,40.6066455870001,-73.987140806
0,40.6548586490001,-73.887747237
1,40.80292022,-73.95286086
0,40.689531319,-73.934857494
2,40.636747998,-74.010053908
