Cluster,lat,lon
0,40.842954667503008,-73.895122712884572
1,40.641435766612162,-73.972206538842386
2,40.766493014175538,-73.964634565975487
3,40.70223822565189,-73.788324344733326
4,40.621334350666714,-74.119259068302981
5,40.695421474779188,-73.905681353024974
